"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"85-89 years"	"85-89"	"Male"	"M"	"2017"	"2017"	223	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2018"	"2018"	182	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2019"	"2019"	233	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"Male"	"M"	"2020 "	"2020"	232	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"1999"	"1999"	19	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2000"	"2000"	23	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2001"	"2001"	13	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2002"	"2002"	13	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2003"	"2003"	18	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2004"	"2004"	15	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2005"	"2005"	25	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2006"	"2006"	23	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2007"	"2007"	20	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2008"	"2008"	18	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2009"	"2009"	17	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2010"	"2010"	22	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2011"	"2011"	14	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2012"	"2012"	18	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2013"	"2013"	23	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2014"	"2014"	29	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2015"	"2015"	40	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2016"	"2016"	31	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2017"	"2017"	30	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2018"	"2018"	30	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2019"	"2019"	30	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Female"	"F"	"2020 "	"2020"	29	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"1999"	"1999"	24	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2000"	"2000"	32	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2001"	"2001"	27	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2002"	"2002"	26	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2003"	"2003"	20	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2004"	"2004"	25	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2005"	"2005"	25	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2006"	"2006"	24	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2007"	"2007"	37	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2008"	"2008"	27	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2009"	"2009"	31	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2010"	"2010"	33	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2011"	"2011"	43	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2012"	"2012"	38	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2013"	"2013"	39	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2014"	"2014"	41	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2015"	"2015"	59	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2016"	"2016"	65	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2017"	"2017"	55	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2018"	"2018"	83	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2019"	"2019"	68	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"Male"	"M"	"2020 "	"2020"	66	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"Female"	"F"	"2008"	"2008"	10	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"Female"	"F"	"2017"	"2017"	14	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"Female"	"F"	"2018"	"2018"	12	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"Male"	"M"	"2011"	"2011"	12	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"Male"	"M"	"2016"	"2016"	10	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"Male"	"M"	"2017"	"2017"	14	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"Male"	"M"	"2018"	"2018"	12	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"Male"	"M"	"2019"	"2019"	12	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"Male"	"M"	"2020 "	"2020"	10	Not Applicable	Not Applicable
"---"
"Dataset: Underlying Cause of Death, 1999-2020"
"Query Parameters:"
"Drug/Alcohol Induced Causes: Alcohol-induced causes"
"Five-Year Age Groups: < 1 year; 1-4 years; 5-9 years; 10-14 years; 15-19 years; 20-24 years; 25-29 years; 30-34 years; 35-39"
"years; 40-44 years; 45-49 years; 50-54 years; 55-59 years; 60-64 years ; 65-69 years; 70-74 years; 75-79 years; 80-84 years;"
"85-89 years; 90-94 years; 95-99 years; 100+ years"
"Group By: Five-Year Age Groups; Gender; Year"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: Feb 15, 2023 6:43:25 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10.html on Feb 15, 2023 6:43:25 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows."
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when they include a subset of ages 85-100+ because populations are not"
"available for those ages. More information: http://wonder.cdc.gov/wonder/help/ucd.html#Ages 85-100."
"2. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#2014-Revision."
"3. Circumstances in Georgia for the years 2008 and 2009 have resulted in unusually high death counts for the ICD-10 cause of"
"death code R99, ""Other ill-defined and unspecified causes of mortality."" Caution should be used in interpreting these data."
"More information: http://wonder.cdc.gov/wonder/help/ucd.html#Georgia-Reporting-Anomalies."
"4. Circumstances in New Jersey for the year 2009 have resulted in unusually high death counts for the ICD-10 cause of death code"
"R99, ""Other ill-defined and unspecified causes of mortality"" and therefore unusually low death counts in other ICD-10 codes,"
"most notably R95, ""Sudden Infant Death Syndrome"" and X40-X49, ""Unintentional poisoning."" Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/ucd.html#New-Jersey-Reporting-Anomalies."
"5. Circumstances in California resulted in unusually high death counts for the ICD-10 cause of death code R99, ""Other"
"ill-defined and unspecified causes of mortality"" for deaths occurring in years 2000 and 2001. Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/ucd.html#California-Reporting-Anomalies."
"6. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Assurance of Confidentiality."
"7. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Unreliable."
"8. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Not Stated."
"9. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,"
"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012"
"postcensal series released by NCHS on June 13, 2013. The population figures for year 2011 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2011 postcensal series released by NCHS on July 18, 2012. Population figures for 2010"
"are April 1 Census counts. The population figures for years 2001 - 2009 are bridged-race estimates of the July 1 resident"
"population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population"
"figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of July 1"
"estimates. Population figures for the infant age groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
"10. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd.html#Age Group."
