"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"10-14 years"	"10-14"	"2014"	"2014"	"Male"	"M"	1771	10551219	16.8
"Total"	"10-14 years"	"10-14"	"2014"	"2014"			2893	20671506	14.0
	"10-14 years"	"10-14"	"2015"	"2015"	"Female"	"F"	1233	10101942	12.2
	"10-14 years"	"10-14"	"2015"	"2015"	"Male"	"M"	1776	10520388	16.9
"Total"	"10-14 years"	"10-14"	"2015"	"2015"			3009	20622330	14.6
	"10-14 years"	"10-14"	"2016"	"2016"	"Female"	"F"	1249	10099501	12.4
	"10-14 years"	"10-14"	"2016"	"2016"	"Male"	"M"	1764	10518732	16.8
"Total"	"10-14 years"	"10-14"	"2016"	"2016"			3013	20618233	14.6
	"10-14 years"	"10-14"	"2017"	"2017"	"Female"	"F"	1247	10173382	12.3
	"10-14 years"	"10-14"	"2017"	"2017"	"Male"	"M"	1970	10605072	18.6
"Total"	"10-14 years"	"10-14"	"2017"	"2017"			3217	20778454	15.5
	"10-14 years"	"10-14"	"2018"	"2018"	"Female"	"F"	1325	10220687	13.0
	"10-14 years"	"10-14"	"2018"	"2018"	"Male"	"M"	1795	10658840	16.8
"Total"	"10-14 years"	"10-14"	"2018"	"2018"			3120	20879527	14.9
	"10-14 years"	"10-14"	"2019"	"2019"	"Female"	"F"	1268	10180007	12.5
	"10-14 years"	"10-14"	"2019"	"2019"	"Male"	"M"	1896	10618261	17.9
"Total"	"10-14 years"	"10-14"	"2019"	"2019"			3164	20798268	15.2
	"10-14 years"	"10-14"	"2020 "	"2020"	"Female"	"F"	1296	10159455	12.8
	"10-14 years"	"10-14"	"2020 "	"2020"	"Male"	"M"	2117	10594968	20.0
"Total"	"10-14 years"	"10-14"	"2020 "	"2020"			3413	20754423	16.4
"Total"	"10-14 years"	"10-14"					74816	458087005	16.3
	"15-19 years"	"15-19"	"1999"	"1999"	"Female"	"F"	3998	9761569	41.0
	"15-19 years"	"15-19"	"1999"	"1999"	"Male"	"M"	9780	10323033	94.7
"Total"	"15-19 years"	"15-19"	"1999"	"1999"			13778	20084602	68.6
	"15-19 years"	"15-19"	"2000"	"2000"	"Female"	"F"	3866	9828886	39.3
	"15-19 years"	"15-19"	"2000"	"2000"	"Male"	"M"	9697	10391004	93.3
"Total"	"15-19 years"	"15-19"	"2000"	"2000"			13563	20219890	67.1
	"15-19 years"	"15-19"	"2001"	"2001"	"Female"	"F"	3789	9908897	38.2
