"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"40-44 years"	"40-44"	"2012"	"2012"	"Female"	"F"	16229	10569227	153.5
	"40-44 years"	"40-44"	"2012"	"2012"	"Male"	"M"	25561	10458994	244.4
"Total"	"40-44 years"	"40-44"	"2012"	"2012"			41790	21028221	198.7
	"40-44 years"	"40-44"	"2013"	"2013"	"Female"	"F"	16224	10488928	154.7
	"40-44 years"	"40-44"	"2013"	"2013"	"Male"	"M"	25528	10359992	246.4
"Total"	"40-44 years"	"40-44"	"2013"	"2013"			41752	20848920	200.3
	"40-44 years"	"40-44"	"2014"	"2014"	"Female"	"F"	16478	10372090	158.9
	"40-44 years"	"40-44"	"2014"	"2014"	"Male"	"M"	25193	10219393	246.5
"Total"	"40-44 years"	"40-44"	"2014"	"2014"			41671	20591483	202.4
	"40-44 years"	"40-44"	"2015"	"2015"	"Female"	"F"	16191	10185045	159.0
	"40-44 years"	"40-44"	"2015"	"2015"	"Male"	"M"	25480	10030153	254.0
"Total"	"40-44 years"	"40-44"	"2015"	"2015"			41671	20215198	206.1
	"40-44 years"	"40-44"	"2016"	"2016"	"Female"	"F"	16109	9919930	162.4
	"40-44 years"	"40-44"	"2016"	"2016"	"Male"	"M"	26406	9776321	270.1
"Total"	"40-44 years"	"40-44"	"2016"	"2016"			42515	19696251	215.9
	"40-44 years"	"40-44"	"2017"	"2017"	"Female"	"F"	16208	9890258	163.9
	"40-44 years"	"40-44"	"2017"	"2017"	"Male"	"M"	26687	9753115	273.6
"Total"	"40-44 years"	"40-44"	"2017"	"2017"			42895	19643373	218.4
	"40-44 years"	"40-44"	"2018"	"2018"	"Female"	"F"	15910	9916891	160.4
	"40-44 years"	"40-44"	"2018"	"2018"	"Male"	"M"	26853	9797410	274.1
"Total"	"40-44 years"	"40-44"	"2018"	"2018"			42763	19714301	216.9
	"40-44 years"	"40-44"	"2019"	"2019"	"Female"	"F"	16153	10014484	161.3
	"40-44 years"	"40-44"	"2019"	"2019"	"Male"	"M"	28195	9907139	284.6
"Total"	"40-44 years"	"40-44"	"2019"	"2019"			44348	19921623	222.6
	"40-44 years"	"40-44"	"2020 "	"2020"	"Female"	"F"	19981	10199608	195.9
	"40-44 years"	"40-44"	"2020 "	"2020"	"Male"	"M"	36428	10108280	360.4
"Total"	"40-44 years"	"40-44"	"2020 "	"2020"			56409	20307888	277.8
"Total"	"40-44 years"	"40-44"					1051051	469245626	224.0
	"45-49 years"	"45-49"	"1999"	"1999"	"Female"	"F"	24817	9987734	248.5
	"45-49 years"	"45-49"	"1999"	"1999"	"Male"	"M"	43303	9666473	448.0
"Total"	"45-49 years"	"45-49"	"1999"	"1999"			68120	19654207	346.6
	"45-49 years"	"45-49"	"2000"	"2000"	"Female"	"F"	25711	10202898	252.0
	"45-49 years"	"45-49"	"2000"	"2000"	"Male"	"M"	45121	9889506	456.3
"Total"	"45-49 years"	"45-49"	"2000"	"2000"			70832	20092404	352.5
	"45-49 years"	"45-49"	"2001"	"2001"	"Female"	"F"	27117	10505949	258.1
	"45-49 years"	"45-49"	"2001"	"2001"	"Male"	"M"	46567	10193034	456.9
"Total"	"45-49 years"	"45-49"	"2001"	"2001"			73684	20698983	356.0
	"45-49 years"	"45-49"	"2002"	"2002"	"Female"	"F"	28364	10785791	263.0
	"45-49 years"	"45-49"	"2002"	"2002"	"Male"	"M"	47701	10466497	455.7
"Total"	"45-49 years"	"45-49"	"2002"	"2002"			76065	21252288	357.9
	"45-49 years"	"45-49"	"2003"	"2003"	"Female"	"F"	29034	11017265	263.5
	"45-49 years"	"45-49"	"2003"	"2003"	"Male"	"M"	49139	10705411	459.0
"Total"	"45-49 years"	"45-49"	"2003"	"2003"			78173	21722676	359.9
	"45-49 years"	"45-49"	"2004"	"2004"	"Female"	"F"	29413	11184506	263.0
	"45-49 years"	"45-49"	"2004"	"2004"	"Male"	"M"	48514	10880756	445.9
"Total"	"45-49 years"	"45-49"	"2004"	"2004"			77927	22065262	353.2
	"45-49 years"	"45-49"	"2005"	"2005"	"Female"	"F"	30104	11357088	265.1
	"45-49 years"	"45-49"	"2005"	"2005"	"Male"	"M"	49279	11060083	445.6
"Total"	"45-49 years"	"45-49"	"2005"	"2005"			79383	22417171	354.1
	"45-49 years"	"45-49"	"2006"	"2006"	"Female"	"F"	30250	11505455	262.9
	"45-49 years"	"45-49"	"2006"	"2006"	"Male"	"M"	49018	11209831	437.3
"Total"	"45-49 years"	"45-49"	"2006"	"2006"			79268	22715286	349.0
	"45-49 years"	"45-49"	"2007"	"2007"	"Female"	"F"	29834	11542213	258.5
	"45-49 years"	"45-49"	"2007"	"2007"	"Male"	"M"	47904	11257548	425.5
"Total"	"45-49 years"	"45-49"	"2007"	"2007"			77738	22799761	341.0
	"45-49 years"	"45-49"	"2008"	"2008"	"Female"	"F"	30078	11556983	260.3
	"45-49 years"	"45-49"	"2008"	"2008"	"Male"	"M"	47339	11263990	420.3
"Total"	"45-49 years"	"45-49"	"2008"	"2008"			77417	22820973	339.2
	"45-49 years"	"45-49"	"2009"	"2009"	"Female"	"F"	30034	11576574	259.4
	"45-49 years"	"45-49"	"2009"	"2009"	"Male"	"M"	46373	11285671	410.9
"Total"	"45-49 years"	"45-49"	"2009"	"2009"			76407	22862245	334.2
	"45-49 years"	"45-49"	"2010"	"2010"	"Female"	"F"	28623	11499506	248.9
	"45-49 years"	"45-49"	"2010"	"2010"	"Male"	"M"	44946	11209085	401.0
"Total"	"45-49 years"	"45-49"	"2010"	"2010"			73569	22708591	324.0
	"45-49 years"	"45-49"	"2011"	"2011"	"Female"	"F"	28160	11205304	251.3
	"45-49 years"	"45-49"	"2011"	"2011"	"Male"	"M"	43514	10952701	397.3
"Total"	"45-49 years"	"45-49"	"2011"	"2011"			71674	22158005	323.5
	"45-49 years"	"45-49"	"2012"	"2012"	"Female"	"F"	27092	10962854	247.1
	"45-49 years"	"45-49"	"2012"	"2012"	"Male"	"M"	41387	10726625	385.8
"Total"	"45-49 years"	"45-49"	"2012"	"2012"			68479	21689479	315.7
	"45-49 years"	"45-49"	"2013"	"2013"	"Female"	"F"	26302	10710188	245.6
	"45-49 years"	"45-49"	"2013"	"2013"	"Male"	"M"	40531	10498118	386.1
"Total"	"45-49 years"	"45-49"	"2013"	"2013"			66833	21208306	315.1
	"45-49 years"	"45-49"	"2014"	"2014"	"Female"	"F"	25735	10540579	244.2
	"45-49 years"	"45-49"	"2014"	"2014"	"Male"	"M"	39281	10347463	379.6
"Total"	"45-49 years"	"45-49"	"2014"	"2014"			65016	20888042	311.3
	"45-49 years"	"45-49"	"2015"	"2015"	"Female"	"F"	25570	10518915	243.1
	"45-49 years"	"45-49"	"2015"	"2015"	"Male"	"M"	38807	10334929	375.5
"Total"	"45-49 years"	"45-49"	"2015"	"2015"			64377	20853844	308.7
	"45-49 years"	"45-49"	"2016"	"2016"	"Female"	"F"	25816	10571668	244.2
	"45-49 years"	"45-49"	"2016"	"2016"	"Male"	"M"	39769	10375955	383.3
"Total"	"45-49 years"	"45-49"	"2016"	"2016"			65585	20947623	313.1
	"45-49 years"	"45-49"	"2017"	"2017"	"Female"	"F"	25475	10587683	240.6
	"45-49 years"	"45-49"	"2017"	"2017"	"Male"	"M"	40223	10386175	387.3
"Total"	"45-49 years"	"45-49"	"2017"	"2017"			65698	20973858	313.2
	"45-49 years"	"45-49"	"2018"	"2018"	"Female"	"F"	24904	10483140	237.6
	"45-49 years"	"45-49"	"2018"	"2018"	"Male"	"M"	39969	10263995	389.4
"Total"	"45-49 years"	"45-49"	"2018"	"2018"			64873	20747135	312.7
	"45-49 years"	"45-49"	"2019"	"2019"	"Female"	"F"	24381	10312396	236.4
	"45-49 years"	"45-49"	"2019"	"2019"	"Male"	"M"	39358	10085355	390.2
"Total"	"45-49 years"	"45-49"	"2019"	"2019"			63739	20397751	312.5
	"45-49 years"	"45-49"	"2020 "	"2020"	"Female"	"F"	28277	10097702	280.0
	"45-49 years"	"45-49"	"2020 "	"2020"	"Male"	"M"	48154	9872904	487.7
"Total"	"45-49 years"	"45-49"	"2020 "	"2020"			76431	19970606	382.7
"Total"	"45-49 years"	"45-49"					1581288	471644496	335.3
	"50-54 years"	"50-54"	"1999"	"1999"	"Female"	"F"	32498	8644571	375.9
	"50-54 years"	"50-54"	"1999"	"1999"	"Male"	"M"	52356	8279041	632.4
"Total"	"50-54 years"	"50-54"	"1999"	"1999"			84854	16923612	501.4
	"50-54 years"	"50-54"	"2000"	"2000"	"Female"	"F"	34232	8977824	381.3
	"50-54 years"	"50-54"	"2000"	"2000"	"Male"	"M"	55277	8607724	642.2
"Total"	"50-54 years"	"50-54"	"2000"	"2000"			89509	17585548	509.0
	"50-54 years"	"50-54"	"2001"	"2001"	"Female"	"F"	36100	9541132	378.4
	"50-54 years"	"50-54"	"2001"	"2001"	"Male"	"M"	58281	9146153	637.2
"Total"	"50-54 years"	"50-54"	"2001"	"2001"			94381	18687285	505.1
	"50-54 years"	"50-54"	"2002"	"2002"	"Female"	"F"	36299	9571812	379.2
	"50-54 years"	"50-54"	"2002"	"2002"	"Male"	"M"	60021	9168094	654.7
"Total"	"50-54 years"	"50-54"	"2002"	"2002"			96320	18739906	514.0
	"50-54 years"	"50-54"	"2003"	"2003"	"Female"	"F"	37065	9759654	379.8
	"50-54 years"	"50-54"	"2003"	"2003"	"Male"	"M"	61543	9337624	659.1
"Total"	"50-54 years"	"50-54"	"2003"	"2003"			98608	19097278	516.3
	"50-54 years"	"50-54"	"2004"	"2004"	"Female"	"F"	37121	9999623	371.2
	"50-54 years"	"50-54"	"2004"	"2004"	"Male"	"M"	62649	9565045	655.0
"Total"	"50-54 years"	"50-54"	"2004"	"2004"			99770	19564668	509.9
	"50-54 years"	"50-54"	"2005"	"2005"	"Female"	"F"	38954	10257441	379.8
	"50-54 years"	"50-54"	"2005"	"2005"	"Male"	"M"	65193	9821292	663.8
"Total"	"50-54 years"	"50-54"	"2005"	"2005"			104147	20078733	518.7
	"50-54 years"	"50-54"	"2006"	"2006"	"Female"	"F"	39609	10506120	377.0
	"50-54 years"	"50-54"	"2006"	"2006"	"Male"	"M"	66154	10064753	657.3
"Total"	"50-54 years"	"50-54"	"2006"	"2006"			105763	20570873	514.1
	"50-54 years"	"50-54"	"2007"	"2007"	"Female"	"F"	40396	10795749	374.2
	"50-54 years"	"50-54"	"2007"	"2007"	"Male"	"M"	66552	10344429	643.4
"Total"	"50-54 years"	"50-54"	"2007"	"2007"			106948	21140178	505.9
	"50-54 years"	"50-54"	"2008"	"2008"	"Female"	"F"	41426	11040553	375.2
	"50-54 years"	"50-54"	"2008"	"2008"	"Male"	"M"	67699	10598921	638.7
"Total"	"50-54 years"	"50-54"	"2008"	"2008"			109125	21639474	504.3
	"50-54 years"	"50-54"	"2009"	"2009"	"Female"	"F"	42714	11221280	380.7
	"50-54 years"	"50-54"	"2009"	"2009"	"Male"	"M"	68447	10783563	634.7
"Total"	"50-54 years"	"50-54"	"2009"	"2009"			111161	22004843	505.2
	"50-54 years"	"50-54"	"2010"	"2010"	"Female"	"F"	42566	11364851	374.5
	"50-54 years"	"50-54"	"2010"	"2010"	"Male"	"M"	67072	10933274	613.5
"Total"	"50-54 years"	"50-54"	"2010"	"2010"			109638	22298125	491.7
	"50-54 years"	"50-54"	"2011"	"2011"	"Female"	"F"	43378	11493652	377.4
	"50-54 years"	"50-54"	"2011"	"2011"	"Male"	"M"	68195	11066546	616.2
"Total"	"50-54 years"	"50-54"	"2011"	"2011"			111573	22560198	494.6
	"50-54 years"	"50-54"	"2012"	"2012"	"Female"	"F"	43157	11499014	375.3
	"50-54 years"	"50-54"	"2012"	"2012"	"Male"	"M"	67827	11080245	612.1
"Total"	"50-54 years"	"50-54"	"2012"	"2012"			110984	22579259	491.5
	"50-54 years"	"50-54"	"2013"	"2013"	"Female"	"F"	43425	11488260	378.0
	"50-54 years"	"50-54"	"2013"	"2013"	"Male"	"M"	67466	11070966	609.4
"Total"	"50-54 years"	"50-54"	"2013"	"2013"			110891	22559226	491.6
	"50-54 years"	"50-54"	"2014"	"2014"	"Female"	"F"	43805	11493228	381.1
	"50-54 years"	"50-54"	"2014"	"2014"	"Male"	"M"	67096	11077581	605.7
"Total"	"50-54 years"	"50-54"	"2014"	"2014"			110901	22570809	491.3
	"50-54 years"	"50-54"	"2015"	"2015"	"Female"	"F"	43377	11370470	381.5
	"50-54 years"	"50-54"	"2015"	"2015"	"Male"	"M"	66740	10963847	608.7
"Total"	"50-54 years"	"50-54"	"2015"	"2015"			110117	22334317	493.0
	"50-54 years"	"50-54"	"2016"	"2016"	"Female"	"F"	42614	11108872	383.6
	"50-54 years"	"50-54"	"2016"	"2016"	"Male"	"M"	65317	10730184	608.7
"Total"	"50-54 years"	"50-54"	"2016"	"2016"			107931	21839056	494.2
	"50-54 years"	"50-54"	"2017"	"2017"	"Female"	"F"	40863	10880912	375.5
	"50-54 years"	"50-54"	"2017"	"2017"	"Male"	"M"	63581	10520182	604.4
"Total"	"50-54 years"	"50-54"	"2017"	"2017"			104444	21401094	488.0
	"50-54 years"	"50-54"	"2018"	"2018"	"Female"	"F"	38903	10607357	366.8
	"50-54 years"	"50-54"	"2018"	"2018"	"Male"	"M"	61061	10277207	594.1
"Total"	"50-54 years"	"50-54"	"2018"	"2018"			99964	20884564	478.7
	"50-54 years"	"50-54"	"2019"	"2019"	"Female"	"F"	37165	10390540	357.7
	"50-54 years"	"50-54"	"2019"	"2019"	"Male"	"M"	59489	10086611	589.8
"Total"	"50-54 years"	"50-54"	"2019"	"2019"			96654	20477151	472.0
	"50-54 years"	"50-54"	"2020 "	"2020"	"Female"	"F"	43021	10343739	415.9
	"50-54 years"	"50-54"	"2020 "	"2020"	"Male"	"M"	71690	10051788	713.2
"Total"	"50-54 years"	"50-54"	"2020 "	"2020"			114711	20395527	562.4
"Total"	"50-54 years"	"50-54"					2288394	455931724	501.9
	"55-59 years"	"55-59"	"1999"	"1999"	"Female"	"F"	41443	6765034	612.6
	"55-59 years"	"55-59"	"1999"	"1999"	"Male"	"M"	63441	6319787	1003.8
"Total"	"55-59 years"	"55-59"	"1999"	"1999"			104884	13084821	801.6
	"55-59 years"	"55-59"	"2000"	"2000"	"Female"	"F"	42326	6960508	608.1
	"55-59 years"	"55-59"	"2000"	"2000"	"Male"	"M"	64425	6508729	989.8
"Total"	"55-59 years"	"55-59"	"2000"	"2000"			106751	13469237	792.6
	"55-59 years"	"55-59"	"2001"	"2001"	"Female"	"F"	43722	7209396	606.5
	"55-59 years"	"55-59"	"2001"	"2001"	"Male"	"M"	65801	6759579	973.4
"Total"	"55-59 years"	"55-59"	"2001"	"2001"			109523	13968975	784.0
	"55-59 years"	"55-59"	"2002"	"2002"	"Female"	"F"	45611	7801990	584.6
	"55-59 years"	"55-59"	"2002"	"2002"	"Male"	"M"	69830	7341077	951.2
"Total"	"55-59 years"	"55-59"	"2002"	"2002"			115441	15143067	762.3
	"55-59 years"	"55-59"	"2003"	"2003"	"Female"	"F"	47151	8141956	579.1
	"55-59 years"	"55-59"	"2003"	"2003"	"Male"	"M"	72188	7672601	940.9
"Total"	"55-59 years"	"55-59"	"2003"	"2003"			119339	15814557	754.6
	"55-59 years"	"55-59"	"2004"	"2004"	"Female"	"F"	47763	8547949	558.8
	"55-59 years"	"55-59"	"2004"	"2004"	"Male"	"M"	73400	8059227	910.8
"Total"	"55-59 years"	"55-59"	"2004"	"2004"			121163	16607176	729.6
	"55-59 years"	"55-59"	"2005"	"2005"	"Female"	"F"	49490	9007859	549.4
	"55-59 years"	"55-59"	"2005"	"2005"	"Male"	"M"	77988	8495361	918.0
"Total"	"55-59 years"	"55-59"	"2005"	"2005"			127478	17503220	728.3
	"55-59 years"	"55-59"	"2006"	"2006"	"Female"	"F"	51680	9473065	545.5
	"55-59 years"	"55-59"	"2006"	"2006"	"Male"	"M"	81373	8923795	911.9
"Total"	"55-59 years"	"55-59"	"2006"	"2006"			133053	18396860	723.2
	"55-59 years"	"55-59"	"2007"	"2007"	"Female"	"F"	50868	9509473	534.9
	"55-59 years"	"55-59"	"2007"	"2007"	"Male"	"M"	81590	8945299	912.1
"Total"	"55-59 years"	"55-59"	"2007"	"2007"			132458	18454772	717.7
	"55-59 years"	"55-59"	"2008"	"2008"	"Female"	"F"	51285	9702238	528.6
	"55-59 years"	"55-59"	"2008"	"2008"	"Male"	"M"	83423	9112330	915.5
"Total"	"55-59 years"	"55-59"	"2008"	"2008"			134708	18814568	716.0
	"55-59 years"	"55-59"	"2009"	"2009"	"Female"	"F"	52499	9946217	527.8
	"55-59 years"	"55-59"	"2009"	"2009"	"Male"	"M"	85207	9334386	912.8
"Total"	"55-59 years"	"55-59"	"2009"	"2009"			137706	19280603	714.2
	"55-59 years"	"55-59"	"2010"	"2010"	"Female"	"F"	53186	10141157	524.5
	"55-59 years"	"55-59"	"2010"	"2010"	"Male"	"M"	86775	9523648	911.2
"Total"	"55-59 years"	"55-59"	"2010"	"2010"			139961	19664805	711.7
	"55-59 years"	"55-59"	"2011"	"2011"	"Female"	"F"	55143	10439497	528.2
	"55-59 years"	"55-59"	"2011"	"2011"	"Male"	"M"	89129	9816051	908.0
"Total"	"55-59 years"	"55-59"	"2011"	"2011"			144272	20255548	712.3
	"55-59 years"	"55-59"	"2012"	"2012"	"Female"	"F"	57235	10704108	534.7
	"55-59 years"	"55-59"	"2012"	"2012"	"Male"	"M"	91743	10068409	911.2
"Total"	"55-59 years"	"55-59"	"2012"	"2012"			148978	20772517	717.2
	"55-59 years"	"55-59"	"2013"	"2013"	"Female"	"F"	58985	10912048	540.5
	"55-59 years"	"55-59"	"2013"	"2013"	"Male"	"M"	93996	10282382	914.1
"Total"	"55-59 years"	"55-59"	"2013"	"2013"			152981	21194430	721.8
	"55-59 years"	"55-59"	"2014"	"2014"	"Female"	"F"	61178	11067461	552.8
	"55-59 years"	"55-59"	"2014"	"2014"	"Male"	"M"	95992	10443988	919.1
"Total"	"55-59 years"	"55-59"	"2014"	"2014"			157170	21511449	730.6
	"55-59 years"	"55-59"	"2015"	"2015"	"Female"	"F"	62417	11210375	556.8
	"55-59 years"	"55-59"	"2015"	"2015"	"Male"	"M"	97172	10597567	916.9
"Total"	"55-59 years"	"55-59"	"2015"	"2015"			159589	21807942	731.8
	"55-59 years"	"55-59"	"2016"	"2016"	"Female"	"F"	63496	11296702	562.1
	"55-59 years"	"55-59"	"2016"	"2016"	"Male"	"M"	98650	10683406	923.4
"Total"	"55-59 years"	"55-59"	"2016"	"2016"			162146	21980108	737.7
	"55-59 years"	"55-59"	"2017"	"2017"	"Female"	"F"	63711	11307436	563.4
	"55-59 years"	"55-59"	"2017"	"2017"	"Male"	"M"	98387	10700520	919.5
"Total"	"55-59 years"	"55-59"	"2017"	"2017"			162098	22007956	736.5
	"55-59 years"	"55-59"	"2018"	"2018"	"Female"	"F"	62702	11271658	556.3
	"55-59 years"	"55-59"	"2018"	"2018"	"Male"	"M"	98261	10669327	921.0
"Total"	"55-59 years"	"55-59"	"2018"	"2018"			160963	21940985	733.6
	"55-59 years"	"55-59"	"2019"	"2019"	"Female"	"F"	61398	11234902	546.5
	"55-59 years"	"55-59"	"2019"	"2019"	"Male"	"M"	97055	10642489	912.0
"Total"	"55-59 years"	"55-59"	"2019"	"2019"			158453	21877391	724.3
	"55-59 years"	"55-59"	"2020 "	"2020"	"Female"	"F"	69568	11091171	627.2
	"55-59 years"	"55-59"	"2020 "	"2020"	"Male"	"M"	113660	10511928	1081.2
"Total"	"55-59 years"	"55-59"	"2020 "	"2020"			183228	21603099	848.2
"Total"	"55-59 years"	"55-59"					3072343	415154086	740.0
	"60-64 years "	"60-64"	"1999"	"1999"	"Female"	"F"	54812	5613729	976.4
	"60-64 years "	"60-64"	"1999"	"1999"	"Male"	"M"	79283	5079476	1560.8
"Total"	"60-64 years "	"60-64"	"1999"	"1999"			134095	10693205	1254.0
	"60-64 years "	"60-64"	"2000"	"2000"	"Female"	"F"	55199	5668820	973.7
	"60-64 years "	"60-64"	"2000"	"2000"	"Male"	"M"	78896	5136627	1535.9
"Total"	"60-64 years "	"60-64"	"2000"	"2000"			134095	10805447	1241.0
	"60-64 years "	"60-64"	"2001"	"2001"	"Female"	"F"	55459	5834170	950.6
	"60-64 years "	"60-64"	"2001"	"2001"	"Male"	"M"	79157	5302150	1492.9
"Total"	"60-64 years "	"60-64"	"2001"	"2001"			134616	11136320	1208.8
	"60-64 years "	"60-64"	"2002"	"2002"	"Female"	"F"	56368	6051668	931.4
	"60-64 years "	"60-64"	"2002"	"2002"	"Male"	"M"	81533	5508597	1480.1
"Total"	"60-64 years "	"60-64"	"2002"	"2002"			137901	11560265	1192.9
	"60-64 years "	"60-64"	"2003"	"2003"	"Female"	"F"	58907	6377463	923.7
	"60-64 years "	"60-64"	"2003"	"2003"	"Male"	"M"	84273	5816925	1448.8
"Total"	"60-64 years "	"60-64"	"2003"	"2003"			143180	12194388	1174.1
	"60-64 years "	"60-64"	"2004"	"2004"	"Female"	"F"	58902	6637798	887.4
	"60-64 years "	"60-64"	"2004"	"2004"	"Male"	"M"	84632	6060330	1396.5
"Total"	"60-64 years "	"60-64"	"2004"	"2004"			143534	12698128	1130.4
	"60-64 years "	"60-64"	"2005"	"2005"	"Female"	"F"	60382	6860551	880.1
	"60-64 years "	"60-64"	"2005"	"2005"	"Male"	"M"	87441	6277726	1392.9
"Total"	"60-64 years "	"60-64"	"2005"	"2005"			147823	13138277	1125.1
	"60-64 years "	"60-64"	"2006"	"2006"	"Female"	"F"	60734	7058989	860.4
	"60-64 years "	"60-64"	"2006"	"2006"	"Male"	"M"	87614	6474264	1353.3
"Total"	"60-64 years "	"60-64"	"2006"	"2006"			148348	13533253	1096.2
	"60-64 years "	"60-64"	"2007"	"2007"	"Female"	"F"	62624	7639198	819.8
	"60-64 years "	"60-64"	"2007"	"2007"	"Male"	"M"	92028	7034464	1308.2
"Total"	"60-64 years "	"60-64"	"2007"	"2007"			154652	14673662	1053.9
	"60-64 years "	"60-64"	"2008"	"2008"	"Female"	"F"	65347	7979525	818.9
	"60-64 years "	"60-64"	"2008"	"2008"	"Male"	"M"	96127	7362970	1305.5
"Total"	"60-64 years "	"60-64"	"2008"	"2008"			161474	15342495	1052.5
	"60-64 years "	"60-64"	"2009"	"2009"	"Female"	"F"	66666	8383324	795.2
	"60-64 years "	"60-64"	"2009"	"2009"	"Male"	"M"	98935	7741673	1278.0
"Total"	"60-64 years "	"60-64"	"2009"	"2009"			165601	16124997	1027.0
	"60-64 years "	"60-64"	"2010"	"2010"	"Female"	"F"	68321	8740424	781.7
	"60-64 years "	"60-64"	"2010"	"2010"	"Male"	"M"	102520	8077500	1269.2
"Total"	"60-64 years "	"60-64"	"2010"	"2010"			170841	16817924	1015.8
	"60-64 years "	"60-64"	"2011"	"2011"	"Female"	"F"	71531	9264438	772.1
	"60-64 years "	"60-64"	"2011"	"2011"	"Male"	"M"	107512	8542154	1258.6
"Total"	"60-64 years "	"60-64"	"2011"	"2011"			179043	17806592	1005.5
	"60-64 years "	"60-64"	"2012"	"2012"	"Female"	"F"	71420	9279200	769.7
	"60-64 years "	"60-64"	"2012"	"2012"	"Male"	"M"	109208	8534485	1279.6
"Total"	"60-64 years "	"60-64"	"2012"	"2012"			180628	17813685	1014.0
	"60-64 years "	"60-64"	"2013"	"2013"	"Female"	"F"	72817	9447628	770.7
	"60-64 years "	"60-64"	"2013"	"2013"	"Male"	"M"	112329	8674373	1295.0
"Total"	"60-64 years "	"60-64"	"2013"	"2013"			185146	18122001	1021.7
	"60-64 years "	"60-64"	"2014"	"2014"	"Female"	"F"	75432	9688238	778.6
	"60-64 years "	"60-64"	"2014"	"2014"	"Male"	"M"	116206	8877894	1308.9
"Total"	"60-64 years "	"60-64"	"2014"	"2014"			191638	18566132	1032.2
	"60-64 years "	"60-64"	"2015"	"2015"	"Female"	"F"	77742	9952697	781.1
	"60-64 years "	"60-64"	"2015"	"2015"	"Male"	"M"	120454	9117180	1321.2
"Total"	"60-64 years "	"60-64"	"2015"	"2015"			198196	19069877	1039.3
	"60-64 years "	"60-64"	"2016"	"2016"	"Female"	"F"	80565	10167404	792.4
	"60-64 years "	"60-64"	"2016"	"2016"	"Male"	"M"	123734	9315632	1328.2
"Total"	"60-64 years "	"60-64"	"2016"	"2016"			204299	19483036	1048.6
	"60-64 years "	"60-64"	"2017"	"2017"	"Female"	"F"	82960	10430419	795.4
	"60-64 years "	"60-64"	"2017"	"2017"	"Male"	"M"	126948	9557283	1328.3
"Total"	"60-64 years "	"60-64"	"2017"	"2017"			209908	19987702	1050.2
	"60-64 years "	"60-64"	"2018"	"2018"	"Female"	"F"	83861	10602115	791.0
	"60-64 years "	"60-64"	"2018"	"2018"	"Male"	"M"	130012	9729536	1336.3
"Total"	"60-64 years "	"60-64"	"2018"	"2018"			213873	20331651	1051.9
	"60-64 years "	"60-64"	"2019"	"2019"	"Female"	"F"	85614	10714416	799.1
	"60-64 years "	"60-64"	"2019"	"2019"	"Male"	"M"	130870	9856730	1327.7
"Total"	"60-64 years "	"60-64"	"2019"	"2019"			216484	20571146	1052.4
	"60-64 years "	"60-64"	"2020 "	"2020"	"Female"	"F"	99854	10823072	922.6
	"60-64 years "	"60-64"	"2020 "	"2020"	"Male"	"M"	157467	9977506	1578.2
"Total"	"60-64 years "	"60-64"	"2020 "	"2020"			257321	20800578	1237.1
"Total"	"60-64 years "	"60-64"					3812696	351270761	1085.4
	"65-69 years"	"65-69"	"1999"	"1999"	"Female"	"F"	79166	5141988	1539.6
	"65-69 years"	"65-69"	"1999"	"1999"	"Male"	"M"	107529	4399510	2444.1
"Total"	"65-69 years"	"65-69"	"1999"	"1999"			186695	9541498	1956.7
	"65-69 years"	"65-69"	"2000"	"2000"	"Female"	"F"	77804	5133183	1515.7
	"65-69 years"	"65-69"	"2000"	"2000"	"Male"	"M"	103935	4400362	2362.0
"Total"	"65-69 years"	"65-69"	"2000"	"2000"			181739	9533545	1906.3
	"65-69 years"	"65-69"	"2001"	"2001"	"Female"	"F"	76122	5134618	1482.5
	"65-69 years"	"65-69"	"2001"	"2001"	"Male"	"M"	102110	4427615	2306.2
"Total"	"65-69 years"	"65-69"	"2001"	"2001"			178232	9562233	1863.9
	"65-69 years"	"65-69"	"2002"	"2002"	"Female"	"F"	75001	5163814	1452.4
	"65-69 years"	"65-69"	"2002"	"2002"	"Male"	"M"	100590	4474667	2248.0
"Total"	"65-69 years"	"65-69"	"2002"	"2002"			175591	9638481	1821.8
	"65-69 years"	"65-69"	"2003"	"2003"	"Female"	"F"	74502	5253706	1418.1
	"65-69 years"	"65-69"	"2003"	"2003"	"Male"	"M"	100315	4577090	2191.7
"Total"	"65-69 years"	"65-69"	"2003"	"2003"			174817	9830796	1778.3
	"65-69 years"	"65-69"	"2004"	"2004"	"Female"	"F"	73529	5370418	1369.1
	"65-69 years"	"65-69"	"2004"	"2004"	"Male"	"M"	98455	4703011	2093.4
"Total"	"65-69 years"	"65-69"	"2004"	"2004"			171984	10073429	1707.3
	"65-69 years"	"65-69"	"2005"	"2005"	"Female"	"F"	73824	5469500	1349.7
	"65-69 years"	"65-69"	"2005"	"2005"	"Male"	"M"	98412	4809127	2046.4
"Total"	"65-69 years"	"65-69"	"2005"	"2005"			172236	10278627	1675.7
	"65-69 years"	"65-69"	"2006"	"2006"	"Female"	"F"	73162	5609202	1304.3
	"65-69 years"	"65-69"	"2006"	"2006"	"Male"	"M"	98721	4943999	1996.8
"Total"	"65-69 years"	"65-69"	"2006"	"2006"			171883	10553201	1628.7
