"Notes"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"2005"	"2005"	"90-94 years"	"90-94"	61	Not Applicable	Not Applicable
	"Female"	"F"	"2005"	"2005"	"95-99 years"	"95-99"	24	Not Applicable	Not Applicable
	"Female"	"F"	"2006"	"2006"	"< 1 year"	"1"	21	1975919	1.1
	"Female"	"F"	"2006"	"2006"	"1-4 years"	"1-4"	16	7775092	Unreliable
	"Female"	"F"	"2006"	"2006"	"10-14 years"	"10-14"	19	10261944	Unreliable
	"Female"	"F"	"2006"	"2006"	"15-19 years"	"15-19"	226	10597293	2.1
	"Female"	"F"	"2006"	"2006"	"20-24 years"	"20-24"	645	10238784	6.3
	"Female"	"F"	"2006"	"2006"	"25-29 years"	"25-29"	942	10014422	9.4
	"Female"	"F"	"2006"	"2006"	"30-34 years"	"30-34"	1037	9611918	10.8
	"Female"	"F"	"2006"	"2006"	"35-39 years"	"35-39"	1527	10489448	14.6
	"Female"	"F"	"2006"	"2006"	"40-44 years"	"40-44"	2206	11238163	19.6
	"Female"	"F"	"2006"	"2006"	"45-49 years"	"45-49"	2521	11505455	21.9
	"Female"	"F"	"2006"	"2006"	"50-54 years"	"50-54"	1942	10506120	18.5
	"Female"	"F"	"2006"	"2006"	"55-59 years"	"55-59"	1122	9473065	11.8
	"Female"	"F"	"2006"	"2006"	"60-64 years "	"60-64"	485	7058989	6.9
	"Female"	"F"	"2006"	"2006"	"65-69 years"	"65-69"	301	5609202	5.4
	"Female"	"F"	"2006"	"2006"	"70-74 years"	"70-74"	203	4741436	4.3
	"Female"	"F"	"2006"	"2006"	"75-79 years"	"75-79"	211	4269136	4.9
	"Female"	"F"	"2006"	"2006"	"80-84 years"	"80-84"	209	3463549	6.0
	"Female"	"F"	"2006"	"2006"	"85-89 years"	"85-89"	142	Not Applicable	Not Applicable
	"Female"	"F"	"2006"	"2006"	"90-94 years"	"90-94"	74	Not Applicable	Not Applicable
	"Female"	"F"	"2006"	"2006"	"95-99 years"	"95-99"	25	Not Applicable	Not Applicable
	"Female"	"F"	"2007"	"2007"	"< 1 year"	"1"	15	2027181	Unreliable
	"Female"	"F"	"2007"	"2007"	"1-4 years"	"1-4"	23	7813088	0.3
	"Female"	"F"	"2007"	"2007"	"10-14 years"	"10-14"	23	10170082	0.2
	"Female"	"F"	"2007"	"2007"	"15-19 years"	"15-19"	234	10731326	2.2
	"Female"	"F"	"2007"	"2007"	"20-24 years"	"20-24"	681	10270163	6.6
	"Female"	"F"	"2007"	"2007"	"25-29 years"	"25-29"	1004	10229259	9.8
	"Female"	"F"	"2007"	"2007"	"30-34 years"	"30-34"	1087	9559334	11.4
	"Female"	"F"	"2007"	"2007"	"35-39 years"	"35-39"	1521	10502839	14.5
	"Female"	"F"	"2007"	"2007"	"40-44 years"	"40-44"	2129	10999163	19.4
	"Female"	"F"	"2007"	"2007"	"45-49 years"	"45-49"	2680	11542213	23.2
	"Female"	"F"	"2007"	"2007"	"50-54 years"	"50-54"	2265	10795749	21.0
	"Female"	"F"	"2007"	"2007"	"55-59 years"	"55-59"	1289	9509473	13.6
